location,region,division
Alaska,West,Pacific
Alabama,South,East South Central
Arkansas,South,West South Central
Arizona,West,Mountain
California,West,Pacific
Colorado,West,Mountain
Connecticut,Northeast,New England
District of Columbia,South,South Atlantic
Delaware,South,South Atlantic
Florida,South,South Atlantic
Georgia,South,South Atlantic
Hawaii,West,Pacific
Iowa,Midwest,West North Central
Idaho,West,Mountain
Illinois,Midwest,East North Central
Indiana,Midwest,East North Central
Kansas,Midwest,West North Central
Kentucky,South,East South Central
Louisiana,South,West South Central
Massachusetts,Northeast,New England
Maryland,South,South Atlantic
Maine,Northeast,New England
Michigan,Midwest,East North Central
Minnesota,Midwest,West North Central
Missouri,Midwest,West North Central
Mississippi,South,East South Central
Montana,West,Mountain
North Carolina,South,South Atlantic
North Dakota,Midwest,West North Central
Nebraska,Midwest,West North Central
New Hampshire,Northeast,New England
New Jersey,Northeast,Middle Atlantic
New Mexico,West,Mountain
Nevada,West,Mountain
New York State,Northeast,Middle Atlantic
Ohio,Midwest,East North Central
Oklahoma,South,West South Central
Oregon,West,Pacific
Pennsylvania,Northeast,Middle Atlantic
Rhode Island,Northeast,New England
South Carolina,South,South Atlantic
South Dakota,Midwest,West North Central
Tennessee,South,East South Central
Texas,South,West South Central
Utah,West,Mountain
Virginia,South,South Atlantic
Vermont,Northeast,New England
Washington,West,Pacific
Wisconsin,Midwest,East North Central
West Virginia,South,South Atlantic
Wyoming,West,Mountain
British Columbia,,British Columbia
Alberta,,Prairies
Saskatchewan,,Prairies
Ontario,,Ontario
Nunavut,,Territories
Yukon,,Territories
Prince Edward Island,,Atlantic
Northwest Territories,,Territories
Newfoundland,,Atlantic
New Brunswick,,Atlantic
Nova Scotia,,Atlantic
Quebec,,Quebec
Manitoba,,Prairies
